order_id,marketplace,order_date,customer_name,sku,quantity,order_status,expected_dispatch_date
A1001,Amazon,2026-03-11 09:00:00,Priya Nayar,SKU-KTC-0012,1,Delivered,2026-03-13
A1002,Amazon,2026-03-12 09:00:00,Tomasz Wierzbicki,SKU-HME-0207,2,Shipped,2026-03-14
A1003,Amazon,2026-03-16 03:00:00,Ayesha Rahman,SKU-KTC-0045,1,Processing,2026-03-18
A1004,Amazon,2026-03-15 13:00:00,Callum Fraser,SKU-GRD-0113,3,Processing,2026-03-17
A1005,Amazon,2026-03-15 03:00:00,Ingrid Sollberg,SKU-HME-0091,1,Processing,2026-03-17
A1006,Amazon,2026-03-14 13:00:00,Dele Ogunniyi,SKU-PET-0033,1,Shipped,2026-03-16
A1007,Amazon,2026-03-12 15:00:00,Marta Kalnina,SKU-KTC-0012,2,Shipped,2026-03-14
A1008,Amazon,2026-03-13 09:00:00,Owen Pritchard,SKU-STY-0150,1,Delivered,2026-03-15
A1009,Amazon,2026-03-15 21:00:00,Sofia Lindqvist,SKU-GRD-0113,1,Processing,2026-03-17
A1010,Amazon,2026-03-15 07:00:00,Hassan Farouk,SKU-HME-0207,1,Cancelled,2026-03-17
A1011,Amazon,2026-03-14 17:00:00,Rebecca Aldridge,SKU-PET-0077,1,Processing,2026-03-16
A1012,Amazon,2026-03-13 21:00:00,Joon-ho Bae,SKU-STY-0150,1,Shipped,2026-03-15
A1013,Amazon,2026-03-14 23:00:00,Chiara Bellini,SKU-KTC-0045,2,Processing,2026-03-16
A1014,Amazon,2026-03-14 17:00:00,Ade Bankole,SKU-HME-0091,1,Processing,2026-03-16
A1015,Amazon,2026-03-16 07:00:00,Niamh Gallagher,SKU-GRD-0204,1,Pending,2026-03-18
A1016,Amazon,2026-03-13 21:00:00,Ravi Chandrasekhar,SKU-PET-0033,1,Processing,2026-03-15
E2001,eBay,2026-03-10 13:00:00,Victor Almeida,SKU-STY-0150,1,Delivered,2026-03-12
E2002,eBay,2026-03-13 21:00:00,Leila Hadid,SKU-KTC-0012,1,Shipped,2026-03-15
E2003,eBay,2026-03-15 23:00:00,Grzegorz Nowak,SKU-PET-0033,2,Processing,2026-03-17
E2004,eBay,2026-03-14 21:00:00,Hannah Oyelaran,SKU-GRD-0113,1,Shipped,2026-03-16
E2005,eBay,2026-03-13 01:00:00,Stefan Vogel,SKU-HME-0207,1,Cancelled,2026-03-15
E2006,eBay,2026-03-15 15:00:00,Bilal Chaudhry,SKU-KTC-0045,1,Processing,2026-03-17
E2007,eBay,2026-03-12 05:00:00,Fionnuala Doyle,SKU-STY-0150,1,Processing,2026-03-14
E2008,eBay,2026-03-16 05:00:00,Mateo Rivas,SKU-GRD-0204,2,Pending,2026-03-18
E2009,eBay,2026-03-13 05:00:00,Ruth Chikelu,SKU-PET-0077,1,Processing,2026-03-15
E2010,eBay,2026-03-14 02:00:00,Anders Holm,SKU-HME-0091,1,Shipped,2026-03-16
E2011,eBay,2026-03-12 09:00:00,Suki Tanaka,SKU-KTC-0012,1,Shipped,2026-03-14
E2012,eBay,2026-03-11 19:00:00,Kofi Mensah,SKU-PET-0033,1,Shipped,2026-03-13
S3001,Shopify,2026-03-11 19:00:00,Elena Petrova,SKU-HME-0207,1,Delivered,2026-03-13
S3002,Shopify,2026-03-15 11:00:00,Jamal Idris,SKU-GRD-0113,1,Processing,2026-03-17
S3003,Shopify,2026-03-13 15:00:00,Clara Mendoza,SKU-STY-0150,2,Shipped,2026-03-15
S3004,Shopify,2026-03-15 03:00:00,Yusuf Demir,SKU-KTC-0045,1,Shipped,2026-03-17
S3005,Shopify,2026-03-15 19:00:00,Aoife Brennan,SKU-PET-0077,1,Cancelled,2026-03-17
S3006,Shopify,2026-03-13 21:00:00,Nadia Benali,SKU-HME-0091,1,Processing,2026-03-15
S3007,Shopify,2026-03-14 11:00:00,Liam Osei,SKU-GRD-0204,3,Shipped,2026-03-16
S3008,Shopify,2026-03-14 13:00:00,Margit Halvorsen,SKU-KTC-0012,1,Processing,2026-03-16
S3009,Shopify,2026-03-14 07:00:00,Tunde Salami,SKU-STY-0150,1,Shipped,2026-03-16
S3010,Shopify,2026-03-10 03:00:00,Beatriz Carvalho,SKU-PET-0033,1,Shipped,2026-03-12
S3011,Shopify,2026-03-13 11:00:00,Karl Jorgensen,SKU-HME-0207,2,Processing,2026-03-15
S3012,Shopify,2026-03-16 06:00:00,Amara Nwosu,SKU-GRD-0113,1,Pending,2026-03-18
S3013,Shopify,2026-03-15 05:00:00,Rory McKenna,SKU-KTC-0045,1,Processing,2026-03-17
